trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
15,False,"{'a': 0.8, 'e': 0.7985162187593771}",30,12,-93.62463776163275,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 2}",1
16,False,"{'a': 0.8, 'e': 0.7866278610665535}",25,0,-104.75385327527044,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.8, 'e': 0.774916497961081}",20,0,-118.03701379574895,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.8, 'e': 0.7633794943368531}",25,0,-101.00262412105161,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.8, 'e': 0.7520142543193826}",30,0,-110.45795467556623,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
20,False,"{'a': 0.8, 'e': 0.7408182206817179}",30,0,-83.87051084687097,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 2}",0
21,False,"{'a': 0.8, 'e': 0.7297888742690568}",20,0,2.4971173596481684,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.8, 'e': 0.7189237334319262}",30,8,-87.91742084081501,"{0: 13, 1: 1, 2: 6, 3: 2, 4: 0}",1
23,False,"{'a': 0.8, 'e': 0.7082203534678}",30,0,-106.3789360454939,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 1}",0
24,False,"{'a': 0.8, 'e': 0.697676326071031}",20,0,-65.39124964442689,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
25,False,"{'a': 0.8, 'e': 0.6872892787909722}",30,0,-81.49081562034354,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
26,False,"{'a': 0.8, 'e': 0.6770568744981647}",25,0,-54.370424990558824,"{0: 18, 1: 5, 2: 1, 3: 0, 4: 1}",0
27,False,"{'a': 0.8, 'e': 0.6669768108584744}",20,0,-125.27563591190618,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",0
28,False,"{'a': 0.8, 'e': 0.6570468198150567}",25,0,-22.15032982441869,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
29,False,"{'a': 0.8, 'e': 0.6472646670780347}",20,0,-16.912925494323627,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
30,False,"{'a': 0.8, 'e': 0.6376281516217733}",25,11,-70.49164788360349,"{0: 8, 1: 2, 2: 1, 3: 3, 4: 0}",1
31,False,"{'a': 0.8, 'e': 0.6281351051896409}",20,2,-0.014062385252028742,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
32,False,"{'a': 0.8, 'e': 0.6187833918061408}",20,10,6.190892647455492,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.8, 'e': 0.6095709072963093}",25,0,-70.81166811324842,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
